id,treat,treatxpost,imr,month,zip,frq_purchases,qty_purchases,val_purchases
16,0,0,2.5,2,43068,20,26,1015.75
17,0,0,2.54,2,62690,9,32,734.61
18,0,0,2.63,2,44095,14,36,844.93
19,0,0,2.77,2,15202,20,20,1063.76
20,0,0,2.47,2,11801,16,29,1282.71
21,0,0,2.54,2,10462,22,38,1054.15
22,0,0,2.5,2,10312,16,33,1128.38
23,0,0,3,2,93727,24,32,906.42
24,0,0,2.6,2,10567,24,30,873.28
25,0,0,3.08,2,95677,21,42,801.74
26,0,0,2.73,2,8840,15,23,1143.81
27,0,0,2.49,2,32822,20,41,667.77
28,0,0,2.52,2,2191,15,36,1241.64
29,0,0,2.58,2,35674,16,39,1274.55
30,0,0,3.19,2,32205,21,35,786.81
31,0,0,2.44,2,33325,14,31,974.9
32,0,0,2.83,2,58078,16,30,868.81
33,0,0,2.64,2,48105,15,32,757.35
34,0,0,2.76,2,14617,15,34,1045.72
35,0,0,2.59,2,80231,14,37,1043.99
36,0,0,2.94,2,32822,16,42,1012.2
37,0,0,3.96,2,78046,22,26,590.86
38,0,0,3.66,2,90270,12,21,771.67
39,0,0,3.02,2,21228,12,51,858.84
40,0,0,2.48,2,61275,20,41,984.21
41,0,0,4.03,2,49643,6,21,764.36
42,0,0,2.7,2,21502,13,26,729.39
43,0,0,2.53,2,78748,19,34,1180.23
44,0,0,2.44,2,33023,12,39,905.48
45,0,0,2.51,2,11040,20,31,1098.35
46,0,0,2.5,2,78413,13,32,984.51
47,0,0,2.6,2,19118,18,44,1084.94
48,0,0,2.78,2,23838,14,27,677.95
49,0,0,2.55,2,44067,8,30,1101.43
50,0,0,2.56,2,70582,16,30,983.87
51,0,0,2.55,2,90254,14,26,1437.4
52,0,0,2.55,2,12550,21,42,1023.23
53,0,0,2.71,2,94591,14,45,767.08
54,0,0,2.62,2,75460,19,23,939.56
55,0,0,2.53,2,53207,18,43,867.49
56,0,0,3.78,2,85390,13,32,554.22
57,0,0,2.5,2,33615,13,27,1306.84
58,0,0,2.69,2,90029,13,32,1100.06
59,0,0,2.52,2,27518,12,27,984.06
60,0,0,2.71,2,85719,15,27,620.08
61,0,0,2.51,2,53548,10,49,846
62,0,0,2.67,2,40228,11,31,959.51
63,0,0,2.57,2,43616,18,49,1090.12
64,0,0,2.69,2,7044,15,44,1059.5
65,0,0,2.52,2,83622,26,44,1065.02
66,0,0,2.75,2,75181,14,36,842.84
67,0,0,2.79,2,60502,22,24,1011.32
68,0,0,2.9,2,70570,11,20,910.06
69,0,0,2.62,2,85053,21,25,1043.26
70,0,0,2.53,2,8021,16,39,1077.76
71,0,0,2.46,2,85212,14,37,1419.97
72,0,0,3.1,2,8731,15,44,1231.35
73,0,0,2.5,2,28173,14,28,1272.81
74,0,0,3.86,2,23881,13,28,1000.41
75,0,0,2.59,2,29170,18,33,877.95
76,0,0,2.5,2,18252,6,36,917.62
77,0,0,2.58,2,77489,13,28,765.29
78,0,0,2.46,2,96814,22,31,829
79,0,0,2.6,2,10465,19,38,1103.36
80,0,0,2.62,2,75006,21,43,1013.65
81,0,0,2.66,2,91352,15,32,335.76
82,0,0,2.48,2,8054,19,49,1003.21
83,0,0,2.51,2,33433,13,43,1220.71
84,0,0,2.61,2,44405,17,22,871.8
85,0,0,2.67,2,23462,10,44,671.06
86,0,0,2.68,2,37087,15,38,1103.66
87,0,0,2.5,2,80014,18,30,1144.63
88,0,0,2.78,2,27571,26,29,1045.48
89,0,0,2.61,2,52632,16,38,1241.71
90,0,0,2.56,2,7110,15,26,491.15
91,0,0,2.58,2,85053,16,40,352.23
92,0,0,2.63,2,76021,16,26,1040.95
93,0,0,2.49,2,92562,20,32,1398.82
94,0,0,2.63,2,11727,20,31,945.07
95,0,0,2.67,2,30701,15,32,793.54
96,0,0,2.41,2,92104,14,39,747.75
97,0,0,2.71,2,48906,16,23,803.03
98,0,0,2.64,2,87112,20,34,1024.05
99,0,0,2.6,2,49783,23,29,1043.13
100,0,0,2.57,2,11222,10,40,819.25
101,1,0,2.8,2,66205,13,42,1098.7
102,1,0,4.11,2,47872,13,26,723.33
103,1,0,2.71,2,11901,22,39,713.32
104,1,0,2.92,2,90022,16,23,598.27
105,1,0,4,2,77845,20,37,1175.21
106,1,0,2.62,2,46310,14,27,637.6
107,1,0,2.61,2,8690,19,35,1379.46
108,1,0,3.98,2,35803,14,32,504.5
109,1,0,2.74,2,75212,13,33,1075.22
110,1,0,2.53,2,83854,17,33,965.62
111,1,0,2.43,2,85022,13,37,664.01
112,1,0,2.49,2,67601,18,43,715.43
113,1,0,2.64,2,2324,22,39,886.42
114,1,0,2.53,2,62401,21,23,1092.89
115,1,0,2.75,2,91402,10,39,1063.06
116,1,0,2.61,2,43119,16,29,1012.61
117,1,0,2.58,2,67601,19,37,1025.73
118,1,0,2.47,2,68039,11,40,924.82
119,1,0,2.58,2,45331,17,30,1191.28
120,1,0,2.69,2,37042,20,47,1079.53
121,1,0,2.51,2,15062,19,47,1059.83
122,1,0,2.73,2,75088,17,32,884.61
123,1,0,2.73,2,55379,13,52,841.63
124,1,0,2.63,2,60051,19,34,1185.82
125,1,0,2.56,2,48838,13,24,962.93
126,1,0,2.73,2,90044,19,30,768.25
127,1,0,2.51,2,95650,14,25,897.28
128,1,0,2.69,2,7060,18,28,919.78
129,1,0,2.53,2,21224,17,33,921.51
130,1,0,2.66,2,46055,15,40,964.44
131,1,0,2.51,2,40118,20,32,870.71
132,1,0,2.58,2,90280,16,40,666.59
133,1,0,2.77,2,21208,15,35,1069.25
134,1,0,2.48,2,18045,13,34,1078.33
135,1,0,2.79,2,70001,18,28,687.95
136,1,0,2.87,2,21043,23,31,1106.01
137,1,0,2.82,2,25701,19,29,811.06
138,1,0,2.54,2,32801,16,27,766.39
139,1,0,2.61,2,90006,20,40,1034.66
140,1,0,3.19,2,13211,22,31,949.59
141,1,0,3.88,2,33460,17,35,794.75
142,1,0,2.59,2,20705,12,48,1385.19
143,1,0,2.53,2,28547,14,33,980.52
144,1,0,2.46,2,33027,21,13,1225.75
145,1,0,2.47,2,32024,16,35,733.58
146,1,0,2.7,2,32609,14,35,957.29
147,1,0,2.55,2,80916,24,21,906.88
148,1,0,2.59,2,11411,7,42,958.19
149,1,0,3.64,2,37771,14,33,1060.97
150,1,0,3.22,2,37916,12,39,1071.62
151,1,0,2.77,2,90501,17,32,891.41
152,1,0,2.52,2,76034,12,29,803.98
153,1,0,2.61,2,96826,17,23,777.68
154,1,0,2.62,2,87144,15,31,895.43
155,1,0,2.75,2,27587,13,29,890.4
156,1,0,2.53,2,45858,16,38,1163.45
157,1,0,2.49,2,91356,11,44,1108.38
158,1,0,2.69,2,53186,17,37,794.1
159,1,0,3.05,2,90303,18,35,651.88
160,1,0,2.4,2,33023,11,31,1075.84
161,1,0,2.5,2,53188,10,39,1114.88
162,1,0,2.56,2,14850,17,34,912.73
163,1,0,2.71,2,48135,12,26,693.55
164,1,0,2.53,2,48188,8,27,984.19
165,1,0,2.57,2,19111,7,38,966.11
166,1,0,2.53,2,7107,13,33,1100.03
167,1,0,2.7,2,53090,19,31,1107.56
168,1,0,2.57,2,11717,18,35,681.12
169,1,0,2.43,2,32811,15,27,691.79
170,1,0,2.67,2,60660,24,37,1231.03
171,1,0,2.76,2,75228,23,34,1313.63
172,1,0,2.87,2,8221,15,36,929.21
173,1,0,2.53,2,76040,12,28,1035.85
174,1,0,2.67,2,76039,18,41,1020.25
175,1,0,2.79,2,84044,17,30,1106.24
176,1,0,2.52,2,60008,23,41,904.88
177,1,0,2.54,2,33351,19,42,957.26
178,1,0,2.47,2,41091,17,13,606.83
179,1,0,2.54,2,12302,16,30,774.89
180,1,0,2.71,2,33411,20,41,940.24
181,1,0,2.55,2,95973,19,27,1048.07
182,1,0,2.7,2,83644,16,35,769.79
183,1,0,2.64,2,2452,23,41,944.69
184,1,0,2.49,2,80634,14,34,1258.97
185,1,0,2.81,2,60173,13,33,1386.1
186,1,0,2.59,2,99218,18,34,1130.67
187,1,0,2.53,2,85335,22,27,1259.25
188,1,0,2.88,2,14626,16,39,972.91
189,1,0,3.16,2,67525,18,42,1088.11
190,1,0,2.63,2,3044,14,35,1065.87
191,1,0,2.49,2,32812,20,26,995.19
192,1,0,2.45,2,92591,14,28,820.15
193,1,0,2.57,2,6614,14,42,982.8
194,1,0,2.5,2,11763,10,38,795.07
195,1,0,2.6,2,62960,23,42,921.63
196,1,0,2.5,2,34480,17,39,1319.95
197,1,0,2.53,2,7719,23,26,1054.79
198,1,0,2.54,2,49713,13,43,720.87
199,1,0,2.65,2,60445,21,41,975.21
200,1,0,2.44,2,32258,12,31,1314.09
1,0,0,2.95,3,37166,4,34,711.11
2,0,0,2.65,3,11692,18,39,1223.22
3,0,0,2.64,3,34711,24,42,766.02
4,0,0,2.5,3,1904,28,46,922.11
5,0,0,2.7,3,19143,14,38,642.94
6,0,0,2.69,3,39429,17,32,1220.82
7,0,0,2.51,3,70726,20,39,890.65
8,0,0,2.6,3,35216,19,41,1022.48
9,0,0,2.6,3,55104,18,36,976.63
10,0,0,2.46,3,85027,16,49,995.89
11,0,0,2.52,3,30019,11,43,818.29
12,0,0,2.61,3,85043,15,30,1071.57
13,0,0,2.51,3,87113,12,44,763.82
14,0,0,2.65,3,35007,18,26,1397.56
15,0,0,2.5,3,78664,20,29,852.63
16,0,0,2.5,3,43068,18,46,1023.92
17,0,0,2.54,3,62690,17,36,1324.93
18,0,0,2.63,3,44095,19,35,1066.94
19,0,0,2.77,3,15202,21,30,1189.44
20,0,0,2.47,3,11801,19,44,1118.25
21,0,0,2.54,3,10462,3,28,1213.03
22,0,0,2.5,3,10312,18,51,1033.87
23,0,0,3,3,93727,15,27,987.32
24,0,0,2.6,3,10567,19,26,922.06
25,0,0,3.08,3,95677,15,37,899.16
26,0,0,2.73,3,8840,21,45,623.04
27,0,0,2.49,3,32822,13,30,1155.07
28,0,0,2.52,3,2191,11,32,545.21
29,0,0,2.58,3,35674,16,17,928.7
30,0,0,3.19,3,32205,19,38,874.21
31,0,0,2.44,3,33325,12,36,961.51
32,0,0,2.83,3,58078,19,41,686.89
33,0,0,2.64,3,48105,18,35,916.9
34,0,0,2.76,3,14617,23,41,863.78
35,0,0,2.59,3,80231,13,39,1088.96
36,0,0,2.94,3,32822,9,42,1127.6
37,0,0,3.96,3,78046,12,42,1092.28
38,0,0,3.66,3,90270,23,30,596.5
39,0,0,3.02,3,21228,17,23,1037.37
40,0,0,2.48,3,61275,8,29,1044.23
41,0,0,4.03,3,49643,5,24,807.53
42,0,0,2.7,3,21502,18,29,835.81
43,0,0,2.53,3,78748,13,39,1091.38
44,0,0,2.44,3,33023,21,32,662.96
45,0,0,2.51,3,11040,14,38,867.11
46,0,0,2.5,3,78413,22,38,1458.72
47,0,0,2.6,3,19118,16,36,1273.95
48,0,0,2.78,3,23838,22,28,1053.48
49,0,0,2.55,3,44067,15,44,971.77
50,0,0,2.56,3,70582,22,28,909.03
51,0,0,2.55,3,90254,23,32,908.54
52,0,0,2.55,3,12550,15,36,1609.07
53,0,0,2.71,3,94591,17,41,779.35
54,0,0,2.62,3,75460,8,34,903.45
55,0,0,2.53,3,53207,18,28,886.41
56,0,0,3.78,3,85390,10,32,849.47
57,0,0,2.5,3,33615,25,39,801.02
58,0,0,2.69,3,90029,10,33,1068.39
59,0,0,2.52,3,27518,18,40,1057.95
60,0,0,2.71,3,85719,20,35,1020.49
61,0,0,2.51,3,53548,17,41,696.89
62,0,0,2.67,3,40228,16,37,850.08
63,0,0,2.57,3,43616,13,35,920.44
64,0,0,2.69,3,7044,15,23,984.91
65,0,0,2.52,3,83622,19,28,1490.28
66,0,0,2.75,3,75181,15,36,814.14
67,0,0,2.79,3,60502,19,40,978.09
68,0,0,2.9,3,70570,22,31,929.39
69,0,0,2.62,3,85053,21,29,1230.78
70,0,0,2.53,3,8021,18,40,1083.75
71,0,0,2.46,3,85212,19,45,762.06
72,0,0,3.1,3,8731,16,31,860.62
73,0,0,2.5,3,28173,21,31,1159.32
74,0,0,3.86,3,23881,13,29,1096.26
75,0,0,2.59,3,29170,16,32,687.06
76,0,0,2.5,3,18252,16,43,1303.07
77,0,0,2.58,3,77489,17,24,971.5
78,0,0,2.46,3,96814,17,36,992.67
79,0,0,2.6,3,10465,13,35,659.77
80,0,0,2.62,3,75006,23,39,1369.67
81,0,0,2.66,3,91352,16,37,728.17
82,0,0,2.48,3,8054,21,47,735.89
83,0,0,2.51,3,33433,14,33,1001.13
84,0,0,2.61,3,44405,16,41,1044.52
85,0,0,2.67,3,23462,15,31,762.35
86,0,0,2.68,3,37087,21,30,1043.29
87,0,0,2.5,3,80014,24,32,1299.26
88,0,0,2.78,3,27571,15,39,687.92
89,0,0,2.61,3,52632,13,39,996.29
90,0,0,2.56,3,7110,14,41,908.85
91,0,0,2.58,3,85053,15,40,1380.53
92,0,0,2.63,3,76021,18,50,899.03
93,0,0,2.49,3,92562,14,33,1146.74
94,0,0,2.63,3,11727,18,45,964.37
95,0,0,2.67,3,30701,16,34,1257.46
96,0,0,2.41,3,92104,18,25,1257.72
97,0,0,2.71,3,48906,19,39,1017.7
98,0,0,2.64,3,87112,17,35,979.17
99,0,0,2.6,3,49783,16,47,932.25
100,0,0,2.57,3,11222,20,44,865.61
101,1,0,2.8,3,66205,20,48,1015.62
102,1,0,4.11,3,47872,18,38,891.17
103,1,0,2.71,3,11901,13,25,1226.64
104,1,0,2.92,3,90022,19,51,1017.22
105,1,0,4,3,77845,13,17,1089.16
106,1,0,2.62,3,46310,18,28,935.18
107,1,0,2.61,3,8690,23,30,853.8
108,1,0,3.98,3,35803,12,41,548.08
109,1,0,2.74,3,75212,25,41,1168.42
110,1,0,2.53,3,83854,15,36,822.14
111,1,0,2.43,3,85022,16,46,1134.94
112,1,0,2.49,3,67601,11,44,500.39
113,1,0,2.64,3,2324,12,38,952.5
114,1,0,2.53,3,62401,20,28,929.35
115,1,0,2.75,3,91402,13,45,964.89
116,1,0,2.61,3,43119,13,40,829.35
117,1,0,2.58,3,67601,13,37,919.52
118,1,0,2.47,3,68039,16,34,1029.88
119,1,0,2.58,3,45331,14,39,1535.03
120,1,0,2.69,3,37042,19,37,1094.28
121,1,0,2.51,3,15062,18,32,1049.73
122,1,0,2.73,3,75088,21,33,1210.69
123,1,0,2.73,3,55379,23,37,1191.26
124,1,0,2.63,3,60051,8,39,731.99
125,1,0,2.56,3,48838,23,41,909.36
126,1,0,2.73,3,90044,20,44,699.81
127,1,0,2.51,3,95650,19,30,1070.11
128,1,0,2.69,3,7060,20,33,1037.37
129,1,0,2.53,3,21224,20,36,1136.5
130,1,0,2.66,3,46055,10,46,1365.78
131,1,0,2.51,3,40118,20,37,919.63
132,1,0,2.58,3,90280,12,46,956.54
133,1,0,2.77,3,21208,18,48,1437.5
134,1,0,2.48,3,18045,18,46,1100.91
135,1,0,2.79,3,70001,19,43,753.83
136,1,0,2.87,3,21043,14,41,1173.2
137,1,0,2.82,3,25701,26,51,629.75
138,1,0,2.54,3,32801,19,45,810.86
139,1,0,2.61,3,90006,20,41,1049.28
140,1,0,3.19,3,13211,17,32,889.17
141,1,0,3.88,3,33460,8,31,971.3
142,1,0,2.59,3,20705,16,44,988.41
143,1,0,2.53,3,28547,18,34,951.03
144,1,0,2.46,3,33027,15,40,1139.86
145,1,0,2.47,3,32024,17,31,1113.94
146,1,0,2.7,3,32609,19,31,1223.89
147,1,0,2.55,3,80916,20,25,1235.24
148,1,0,2.59,3,11411,22,28,1014.66
149,1,0,3.64,3,37771,15,38,671.27
150,1,0,3.22,3,37916,13,40,938.07
151,1,0,2.77,3,90501,20,44,453.9
152,1,0,2.52,3,76034,21,46,1073.57
153,1,0,2.61,3,96826,19,38,1191.86
154,1,0,2.62,3,87144,25,32,1019.3
155,1,0,2.75,3,27587,19,35,1320.19
156,1,0,2.53,3,45858,16,41,958.74
157,1,0,2.49,3,91356,19,41,806.92
158,1,0,2.69,3,53186,17,37,577.61
159,1,0,3.05,3,90303,16,31,920.91
160,1,0,2.4,3,33023,13,46,950.19
161,1,0,2.5,3,53188,18,34,1175.52
162,1,0,2.56,3,14850,15,41,831.44
163,1,0,2.71,3,48135,14,27,1380.21
164,1,0,2.53,3,48188,19,30,1092.34
165,1,0,2.57,3,19111,19,35,1011.72
166,1,0,2.53,3,7107,16,35,1046.82
167,1,0,2.7,3,53090,14,42,808.13
168,1,0,2.57,3,11717,21,27,1212.84
169,1,0,2.43,3,32811,15,27,957.38
170,1,0,2.67,3,60660,25,35,884.78
171,1,0,2.76,3,75228,16,36,989.34
172,1,0,2.87,3,8221,17,29,754.77
173,1,0,2.53,3,76040,19,38,1091.78
174,1,0,2.67,3,76039,12,44,758.96
175,1,0,2.79,3,84044,20,32,653.76
176,1,0,2.52,3,60008,26,30,1101.2
177,1,0,2.54,3,33351,22,35,1179.73
178,1,0,2.47,3,41091,20,41,869.09
179,1,0,2.54,3,12302,18,48,1064.27
180,1,0,2.71,3,33411,10,37,1145.17
181,1,0,2.55,3,95973,15,39,1049.49
182,1,0,2.7,3,83644,17,41,1128.46
183,1,0,2.64,3,2452,15,43,676.5
184,1,0,2.49,3,80634,21,44,944.92
185,1,0,2.81,3,60173,21,39,1120
186,1,0,2.59,3,99218,18,24,982.15
187,1,0,2.53,3,85335,22,33,958.73
188,1,0,2.88,3,14626,17,39,826.12
189,1,0,3.16,3,67525,12,33,1084.84
190,1,0,2.63,3,3044,19,48,801.73
191,1,0,2.49,3,32812,19,30,1158.85
192,1,0,2.45,3,92591,23,48,1148.46
193,1,0,2.57,3,6614,14,34,1204.2
194,1,0,2.5,3,11763,17,37,1391.71
195,1,0,2.6,3,62960,13,34,1204.6
